"time","e","next_time","x","y"
0,0,0.1,0,0
0,0,0.1,0,0
0,0,0.1,0,0
0.002,0,0.1,0,0
0.004,0,0.1,0,0
0.006,0,0.1,0,0
0.008,0,0.1,0,0
0.01,0,0.1,0,0
0.012,0,0.1,0,0
0.014,0,0.1,0,0
0.016,0,0.1,0,0
0.018,0,0.1,0,0
0.02,0,0.1,0,0
0.022,0,0.1,0,0
0.024,0,0.1,0,0
0.026,0,0.1,0,0
0.028,0,0.1,0,0
0.03,0,0.1,0,0
0.032,0,0.1,0,0
0.034,0,0.1,0,0
0.036,0,0.1,0,0
0.038,0,0.1,0,0
0.04,0,0.1,0,0
0.042,0,0.1,0,0
0.044,0,0.1,0,0
0.046,0,0.1,0,0
0.048,0,0.1,0,0
0.05,0,0.1,0,0
0.052,0,0.1,0,0
0.054,0,0.1,0,0
0.056,0,0.1,0,0
0.058,0,0.1,0,0
0.06,0,0.1,0,0
0.062,0,0.1,0,0
0.064,0,0.1,0,0
0.066,0,0.1,0,0
0.068,0,0.1,0,0
0.07,0,0.1,0,0
0.072,0,0.1,0,0
0.074,0,0.1,0,0
0.076,0,0.1,0,0
0.078,0,0.1,0,0
0.08,0,0.1,0,0
0.082,0,0.1,0,0
0.084,0,0.1,0,0
0.086,0,0.1,0,0
0.088,0,0.1,0,0
0.09,0,0.1,0,0
0.092,0,0.1,0,0
0.094,0,0.1,0,0
0.096,0,0.1,0,0
0.098,0,0.1,0,0
0.1,0,0.1,0,0
0.1,0.1,0.1,0.1,0
0.1,0.1,0.1,0.1,0
0.1,-1.108273750549671e-10,0.2,0.1,0.1000000001108274
0.102,-1.108273750549671e-10,0.2,0.1,0.1000000001108274
0.104,-1.108273750549671e-10,0.2,0.1,0.1000000001108274
0.106,-1.108273750549671e-10,0.2,0.1,0.1000000001108274
0.108,-1.108273750549671e-10,0.2,0.1,0.1000000001108274
0.11,-1.108273750549671e-10,0.2,0.1,0.1000000001108274
0.112,-1.108273750549671e-10,0.2,0.1,0.1000000001108274
0.114,-1.108273750549671e-10,0.2,0.1,0.1000000001108274
0.116,-1.108273750549671e-10,0.2,0.1,0.1000000001108274
0.118,-1.108273750549671e-10,0.2,0.1,0.1000000001108274
0.12,-1.108273750549671e-10,0.2,0.1,0.1000000001108274
0.122,-1.108273750549671e-10,0.2,0.1,0.1000000001108274
0.124,-1.108273750549671e-10,0.2,0.1,0.1000000001108274
0.126,-1.108273750549671e-10,0.2,0.1,0.1000000001108274
0.128,-1.108273750549671e-10,0.2,0.1,0.1000000001108274
0.13,-1.108273750549671e-10,0.2,0.1,0.1000000001108274
0.132,-1.108273750549671e-10,0.2,0.1,0.1000000001108274
0.134,-1.108273750549671e-10,0.2,0.1,0.1000000001108274
0.136,-1.108273750549671e-10,0.2,0.1,0.1000000001108274
0.138,-1.108273750549671e-10,0.2,0.1,0.1000000001108274
0.14,-1.108273750549671e-10,0.2,0.1,0.1000000001108274
0.142,-1.108273750549671e-10,0.2,0.1,0.1000000001108274
0.144,-1.108273750549671e-10,0.2,0.1,0.1000000001108274
0.146,-1.108273750549671e-10,0.2,0.1,0.1000000001108274
0.148,-1.108273750549671e-10,0.2,0.1,0.1000000001108274
0.15,-1.108273750549671e-10,0.2,0.1,0.1000000001108274
0.152,-1.108273750549671e-10,0.2,0.1,0.1000000001108274
0.154,-1.108273750549671e-10,0.2,0.1,0.1000000001108274
0.156,-1.108273750549671e-10,0.2,0.1,0.1000000001108274
0.158,-1.108273750549671e-10,0.2,0.1,0.1000000001108274
0.16,-1.108273750549671e-10,0.2,0.1,0.1000000001108274
0.162,-1.108273750549671e-10,0.2,0.1,0.1000000001108274
0.164,-1.108273750549671e-10,0.2,0.1,0.1000000001108274
0.166,-1.108273750549671e-10,0.2,0.1,0.1000000001108274
0.168,-1.108273750549671e-10,0.2,0.1,0.1000000001108274
0.17,-1.108273750549671e-10,0.2,0.1,0.1000000001108274
0.172,-1.108273750549671e-10,0.2,0.1,0.1000000001108274
0.174,-1.108273750549671e-10,0.2,0.1,0.1000000001108274
0.176,-1.108273750549671e-10,0.2,0.1,0.1000000001108274
0.178,-1.108273750549671e-10,0.2,0.1,0.1000000001108274
0.18,-1.108273750549671e-10,0.2,0.1,0.1000000001108274
0.182,-1.108273750549671e-10,0.2,0.1,0.1000000001108274
0.184,-1.108273750549671e-10,0.2,0.1,0.1000000001108274
0.186,-1.108273750549671e-10,0.2,0.1,0.1000000001108274
0.188,-1.108273750549671e-10,0.2,0.1,0.1000000001108274
0.19,-1.108273750549671e-10,0.2,0.1,0.1000000001108274
0.192,-1.108273750549671e-10,0.2,0.1,0.1000000001108274
0.194,-1.108273750549671e-10,0.2,0.1,0.1000000001108274
0.196,-1.108273750549671e-10,0.2,0.1,0.1000000001108274
0.198,-1.108273750549671e-10,0.2,0.1,0.1000000001108274
0.2,-1.108273750549671e-10,0.2,0.1,0.1000000001108274
0.2,0.09999999988917263,0.2,0.2,0.1000000001108274
0.2,0.09999999988917263,0.2,0.2,0.1000000001108274
0.2,-1.201406196749133e-10,0.3,0.2,0.2000000001201406
0.202,-1.201406196749133e-10,0.3,0.2,0.2000000001201406
0.204,-1.201406196749133e-10,0.3,0.2,0.2000000001201406
0.206,-1.201406196749133e-10,0.3,0.2,0.2000000001201406
0.208,-1.201406196749133e-10,0.3,0.2,0.2000000001201406
0.21,-1.201406196749133e-10,0.3,0.2,0.2000000001201406
0.212,-1.201406196749133e-10,0.3,0.2,0.2000000001201406
0.214,-1.201406196749133e-10,0.3,0.2,0.2000000001201406
0.216,-1.201406196749133e-10,0.3,0.2,0.2000000001201406
0.218,-1.201406196749133e-10,0.3,0.2,0.2000000001201406
0.22,-1.201406196749133e-10,0.3,0.2,0.2000000001201406
0.222,-1.201406196749133e-10,0.3,0.2,0.2000000001201406
0.224,-1.201406196749133e-10,0.3,0.2,0.2000000001201406
0.226,-1.201406196749133e-10,0.3,0.2,0.2000000001201406
0.228,-1.201406196749133e-10,0.3,0.2,0.2000000001201406
0.23,-1.201406196749133e-10,0.3,0.2,0.2000000001201406
0.232,-1.201406196749133e-10,0.3,0.2,0.2000000001201406
0.234,-1.201406196749133e-10,0.3,0.2,0.2000000001201406
0.236,-1.201406196749133e-10,0.3,0.2,0.2000000001201406
0.238,-1.201406196749133e-10,0.3,0.2,0.2000000001201406
0.24,-1.201406196749133e-10,0.3,0.2,0.2000000001201406
0.242,-1.201406196749133e-10,0.3,0.2,0.2000000001201406
0.244,-1.201406196749133e-10,0.3,0.2,0.2000000001201406
0.246,-1.201406196749133e-10,0.3,0.2,0.2000000001201406
0.248,-1.201406196749133e-10,0.3,0.2,0.2000000001201406
0.25,-1.201406196749133e-10,0.3,0.2,0.2000000001201406
0.252,-1.201406196749133e-10,0.3,0.2,0.2000000001201406
0.254,-1.201406196749133e-10,0.3,0.2,0.2000000001201406
0.256,-1.201406196749133e-10,0.3,0.2,0.2000000001201406
0.258,-1.201406196749133e-10,0.3,0.2,0.2000000001201406
0.26,-1.201406196749133e-10,0.3,0.2,0.2000000001201406
0.262,-1.201406196749133e-10,0.3,0.2,0.2000000001201406
0.264,-1.201406196749133e-10,0.3,0.2,0.2000000001201406
0.266,-1.201406196749133e-10,0.3,0.2,0.2000000001201406
0.268,-1.201406196749133e-10,0.3,0.2,0.2000000001201406
0.27,-1.201406196749133e-10,0.3,0.2,0.2000000001201406
0.272,-1.201406196749133e-10,0.3,0.2,0.2000000001201406
0.274,-1.201406196749133e-10,0.3,0.2,0.2000000001201406
0.276,-1.201406196749133e-10,0.3,0.2,0.2000000001201406
0.278,-1.201406196749133e-10,0.3,0.2,0.2000000001201406
0.28,-1.201406196749133e-10,0.3,0.2,0.2000000001201406
0.282,-1.201406196749133e-10,0.3,0.2,0.2000000001201406
0.284,-1.201406196749133e-10,0.3,0.2,0.2000000001201406
0.286,-1.201406196749133e-10,0.3,0.2,0.2000000001201406
0.288,-1.201406196749133e-10,0.3,0.2,0.2000000001201406
0.29,-1.201406196749133e-10,0.3,0.2,0.2000000001201406
0.292,-1.201406196749133e-10,0.3,0.2,0.2000000001201406
0.294,-1.201406196749133e-10,0.3,0.2,0.2000000001201406
0.296,-1.201406196749133e-10,0.3,0.2,0.2000000001201406
0.298,-1.201406196749133e-10,0.3,0.2,0.2000000001201406
0.3,-1.201406196749133e-10,0.3,0.2,0.2000000001201406
0.3,0.09999999987985941,0.3,0.3,0.2000000001201406
0.3,0.09999999987985941,0.3,0.3,0.2000000001201406
0.3,-1.303852026346419e-10,0.4,0.3,0.3000000001303852
0.302,-1.303852026346419e-10,0.4,0.3,0.3000000001303852
0.304,-1.303852026346419e-10,0.4,0.3,0.3000000001303852
0.306,-1.303852026346419e-10,0.4,0.3,0.3000000001303852
0.308,-1.303852026346419e-10,0.4,0.3,0.3000000001303852
0.31,-1.303852026346419e-10,0.4,0.3,0.3000000001303852
0.312,-1.303852026346419e-10,0.4,0.3,0.3000000001303852
0.314,-1.303852026346419e-10,0.4,0.3,0.3000000001303852
0.316,-1.303852026346419e-10,0.4,0.3,0.3000000001303852
0.318,-1.303852026346419e-10,0.4,0.3,0.3000000001303852
0.32,-1.303852026346419e-10,0.4,0.3,0.3000000001303852
0.322,-1.303852026346419e-10,0.4,0.3,0.3000000001303852
0.324,-1.303852026346419e-10,0.4,0.3,0.3000000001303852
0.326,-1.303852026346419e-10,0.4,0.3,0.3000000001303852
0.328,-1.303852026346419e-10,0.4,0.3,0.3000000001303852
0.33,-1.303852026346419e-10,0.4,0.3,0.3000000001303852
0.332,-1.303852026346419e-10,0.4,0.3,0.3000000001303852
0.334,-1.303852026346419e-10,0.4,0.3,0.3000000001303852
0.336,-1.303852026346419e-10,0.4,0.3,0.3000000001303852
0.338,-1.303852026346419e-10,0.4,0.3,0.3000000001303852
0.34,-1.303852026346419e-10,0.4,0.3,0.3000000001303852
0.342,-1.303852026346419e-10,0.4,0.3,0.3000000001303852
0.344,-1.303852026346419e-10,0.4,0.3,0.3000000001303852
0.346,-1.303852026346419e-10,0.4,0.3,0.3000000001303852
0.348,-1.303852026346419e-10,0.4,0.3,0.3000000001303852
0.35,-1.303852026346419e-10,0.4,0.3,0.3000000001303852
0.352,-1.303852026346419e-10,0.4,0.3,0.3000000001303852
0.354,-1.303852026346419e-10,0.4,0.3,0.3000000001303852
0.356,-1.303852026346419e-10,0.4,0.3,0.3000000001303852
0.358,-1.303852026346419e-10,0.4,0.3,0.3000000001303852
0.36,-1.303852026346419e-10,0.4,0.3,0.3000000001303852
0.362,-1.303852026346419e-10,0.4,0.3,0.3000000001303852
0.364,-1.303852026346419e-10,0.4,0.3,0.3000000001303852
0.366,-1.303852026346419e-10,0.4,0.3,0.3000000001303852
0.368,-1.303852026346419e-10,0.4,0.3,0.3000000001303852
0.37,-1.303852026346419e-10,0.4,0.3,0.3000000001303852
0.372,-1.303852026346419e-10,0.4,0.3,0.3000000001303852
0.374,-1.303852026346419e-10,0.4,0.3,0.3000000001303852
0.376,-1.303852026346419e-10,0.4,0.3,0.3000000001303852
0.378,-1.303852026346419e-10,0.4,0.3,0.3000000001303852
0.38,-1.303852026346419e-10,0.4,0.3,0.3000000001303852
0.382,-1.303852026346419e-10,0.4,0.3,0.3000000001303852
0.384,-1.303852026346419e-10,0.4,0.3,0.3000000001303852
0.386,-1.303852026346419e-10,0.4,0.3,0.3000000001303852
0.388,-1.303852026346419e-10,0.4,0.3,0.3000000001303852
0.39,-1.303852026346419e-10,0.4,0.3,0.3000000001303852
0.392,-1.303852026346419e-10,0.4,0.3,0.3000000001303852
0.394,-1.303852026346419e-10,0.4,0.3,0.3000000001303852
0.396,-1.303852026346419e-10,0.4,0.3,0.3000000001303852
0.398,-1.303852026346419e-10,0.4,0.3,0.3000000001303852
0.4,-1.303852026346419e-10,0.4,0.3,0.3000000001303852
0.4,0.09999999986961478,0.4,0.4,0.3000000001303852
0.4,0.09999999986961478,0.4,0.4,0.3000000001303852
0.4,-1.406297855943706e-10,0.5,0.4,0.4000000001406298
0.402,-1.406297855943706e-10,0.5,0.4,0.4000000001406298
0.404,-1.406297855943706e-10,0.5,0.4,0.4000000001406298
0.406,-1.406297855943706e-10,0.5,0.4,0.4000000001406298
0.408,-1.406297855943706e-10,0.5,0.4,0.4000000001406298
0.41,-1.406297855943706e-10,0.5,0.4,0.4000000001406298
0.412,-1.406297855943706e-10,0.5,0.4,0.4000000001406298
0.414,-1.406297855943706e-10,0.5,0.4,0.4000000001406298
0.416,-1.406297855943706e-10,0.5,0.4,0.4000000001406298
0.418,-1.406297855943706e-10,0.5,0.4,0.4000000001406298
0.42,-1.406297855943706e-10,0.5,0.4,0.4000000001406298
0.422,-1.406297855943706e-10,0.5,0.4,0.4000000001406298
0.424,-1.406297855943706e-10,0.5,0.4,0.4000000001406298
0.426,-1.406297855943706e-10,0.5,0.4,0.4000000001406298
0.428,-1.406297855943706e-10,0.5,0.4,0.4000000001406298
0.43,-1.406297855943706e-10,0.5,0.4,0.4000000001406298
0.432,-1.406297855943706e-10,0.5,0.4,0.4000000001406298
0.434,-1.406297855943706e-10,0.5,0.4,0.4000000001406298
0.436,-1.406297855943706e-10,0.5,0.4,0.4000000001406298
0.438,-1.406297855943706e-10,0.5,0.4,0.4000000001406298
0.44,-1.406297855943706e-10,0.5,0.4,0.4000000001406298
0.442,-1.406297855943706e-10,0.5,0.4,0.4000000001406298
0.444,-1.406297855943706e-10,0.5,0.4,0.4000000001406298
0.446,-1.406297855943706e-10,0.5,0.4,0.4000000001406298
0.448,-1.406297855943706e-10,0.5,0.4,0.4000000001406298
0.45,-1.406297855943706e-10,0.5,0.4,0.4000000001406298
0.452,-1.406297855943706e-10,0.5,0.4,0.4000000001406298
0.454,-1.406297855943706e-10,0.5,0.4,0.4000000001406298
0.456,-1.406297855943706e-10,0.5,0.4,0.4000000001406298
0.458,-1.406297855943706e-10,0.5,0.4,0.4000000001406298
0.46,-1.406297855943706e-10,0.5,0.4,0.4000000001406298
0.462,-1.406297855943706e-10,0.5,0.4,0.4000000001406298
0.464,-1.406297855943706e-10,0.5,0.4,0.4000000001406298
0.466,-1.406297855943706e-10,0.5,0.4,0.4000000001406298
0.468,-1.406297855943706e-10,0.5,0.4,0.4000000001406298
0.47,-1.406297855943706e-10,0.5,0.4,0.4000000001406298
0.472,-1.406297855943706e-10,0.5,0.4,0.4000000001406298
0.474,-1.406297855943706e-10,0.5,0.4,0.4000000001406298
0.476,-1.406297855943706e-10,0.5,0.4,0.4000000001406298
0.478,-1.406297855943706e-10,0.5,0.4,0.4000000001406298
0.48,-1.406297855943706e-10,0.5,0.4,0.4000000001406298
0.482,-1.406297855943706e-10,0.5,0.4,0.4000000001406298
0.484,-1.406297855943706e-10,0.5,0.4,0.4000000001406298
0.486,-1.406297855943706e-10,0.5,0.4,0.4000000001406298
0.488,-1.406297855943706e-10,0.5,0.4,0.4000000001406298
0.49,-1.406297855943706e-10,0.5,0.4,0.4000000001406298
0.492,-1.406297855943706e-10,0.5,0.4,0.4000000001406298
0.494,-1.406297855943706e-10,0.5,0.4,0.4000000001406298
0.496,-1.406297855943706e-10,0.5,0.4,0.4000000001406298
0.498,-1.406297855943706e-10,0.5,0.4,0.4000000001406298
0.5,-1.406297855943706e-10,0.5,0.4,0.4000000001406298
0.5,0.09999999985937019,0.5,0.5,0.4000000001406298
0.5,0.09999999985937019,0.5,0.5,0.4000000001406298
0.5,-1.50874313042948e-10,0.6,0.5,0.5000000001508743
0.502,-1.50874313042948e-10,0.6,0.5,0.5000000001508743
0.504,-1.50874313042948e-10,0.6,0.5,0.5000000001508743
0.506,-1.50874313042948e-10,0.6,0.5,0.5000000001508743
0.508,-1.50874313042948e-10,0.6,0.5,0.5000000001508743
0.51,-1.50874313042948e-10,0.6,0.5,0.5000000001508743
0.512,-1.50874313042948e-10,0.6,0.5,0.5000000001508743
0.514,-1.50874313042948e-10,0.6,0.5,0.5000000001508743
0.516,-1.50874313042948e-10,0.6,0.5,0.5000000001508743
0.518,-1.50874313042948e-10,0.6,0.5,0.5000000001508743
0.52,-1.50874313042948e-10,0.6,0.5,0.5000000001508743
0.522,-1.50874313042948e-10,0.6,0.5,0.5000000001508743
0.524,-1.50874313042948e-10,0.6,0.5,0.5000000001508743
0.526,-1.50874313042948e-10,0.6,0.5,0.5000000001508743
0.528,-1.50874313042948e-10,0.6,0.5,0.5000000001508743
0.53,-1.50874313042948e-10,0.6,0.5,0.5000000001508743
0.532,-1.50874313042948e-10,0.6,0.5,0.5000000001508743
0.534,-1.50874313042948e-10,0.6,0.5,0.5000000001508743
0.536,-1.50874313042948e-10,0.6,0.5,0.5000000001508743
0.538,-1.50874313042948e-10,0.6,0.5,0.5000000001508743
0.54,-1.50874313042948e-10,0.6,0.5,0.5000000001508743
0.542,-1.50874313042948e-10,0.6,0.5,0.5000000001508743
0.544,-1.50874313042948e-10,0.6,0.5,0.5000000001508743
0.546,-1.50874313042948e-10,0.6,0.5,0.5000000001508743
0.548,-1.50874313042948e-10,0.6,0.5,0.5000000001508743
0.55,-1.50874313042948e-10,0.6,0.5,0.5000000001508743
0.552,-1.50874313042948e-10,0.6,0.5,0.5000000001508743
0.554,-1.50874313042948e-10,0.6,0.5,0.5000000001508743
0.556,-1.50874313042948e-10,0.6,0.5,0.5000000001508743
0.558,-1.50874313042948e-10,0.6,0.5,0.5000000001508743
0.56,-1.50874313042948e-10,0.6,0.5,0.5000000001508743
0.562,-1.50874313042948e-10,0.6,0.5,0.5000000001508743
0.564,-1.50874313042948e-10,0.6,0.5,0.5000000001508743
0.566,-1.50874313042948e-10,0.6,0.5,0.5000000001508743
0.568,-1.50874313042948e-10,0.6,0.5,0.5000000001508743
0.57,-1.50874313042948e-10,0.6,0.5,0.5000000001508743
0.572,-1.50874313042948e-10,0.6,0.5,0.5000000001508743
0.574,-1.50874313042948e-10,0.6,0.5,0.5000000001508743
0.576,-1.50874313042948e-10,0.6,0.5,0.5000000001508743
0.578,-1.50874313042948e-10,0.6,0.5,0.5000000001508743
0.58,-1.50874313042948e-10,0.6,0.5,0.5000000001508743
0.582,-1.50874313042948e-10,0.6,0.5,0.5000000001508743
0.584,-1.50874313042948e-10,0.6,0.5,0.5000000001508743
0.586,-1.50874313042948e-10,0.6,0.5,0.5000000001508743
0.588,-1.50874313042948e-10,0.6,0.5,0.5000000001508743
0.59,-1.50874313042948e-10,0.6,0.5,0.5000000001508743
0.592,-1.50874313042948e-10,0.6,0.5,0.5000000001508743
0.594,-1.50874313042948e-10,0.6,0.5,0.5000000001508743
0.596,-1.50874313042948e-10,0.6,0.5,0.5000000001508743
0.598,-1.50874313042948e-10,0.6,0.5,0.5000000001508743
0.6,-1.50874313042948e-10,0.6,0.5,0.5000000001508743
0.6,0.09999999984912566,0.6,0.6,0.5000000001508743
0.6,0.09999999984912566,0.6,0.6,0.5000000001508743
0.6,-1.601875299073185e-10,0.7,0.6,0.6000000001601875
