"time","superSample1.factor","superSample1.inferFactor","superSample1.u","superSample1.y"
0,3,0,0,0
0,3,0,0,0
0,3,0,1,0
0,3,0,1,1
0.002,3,0,1,1
0.004,3,0,1,1
0.006,3,0,1,1
0.00666667,3,0,1,1
0.00666667,3,0,1,1
0.008,3,0,1,1
0.01,3,0,1,1
0.012,3,0,1,1
0.0133333,3,0,1,1
0.0133333,3,0,1,1
0.014,3,0,1,1
0.016,3,0,1,1
0.018,3,0,1,1
0.02,3,0,1,1
0.02,3,0,1,1
0.02,3,0,1,1
0.018,3,0,1,1
0.024,3,0,1,1
0.026,3,0,1,1
0.0266667,3,0,1,1
0.0266667,3,0,1,1
0.028,3,0,1,1
0.03,3,0,1,1
0.032,3,0,1,1
0.0333333,3,0,1,1
0.0333333,3,0,1,1
0.034,3,0,1,1
0.036,3,0,1,1
0.038,3,0,1,1
0.04,3,0,1,1
0.04,3,0,1,1
0.04,3,0,1,1
0.038,3,0,1,1
0.044,3,0,1,1
0.046,3,0,1,1
0.0466667,3,0,1,1
0.0466667,3,0,1,1
0.048,3,0,1,1
0.05,3,0,1,1
0.05,3,0,1,1
0.05,3,0,1,1
0.052,3,0,1,1
0.0533333,3,0,1,1
0.0533333,3,0,1,1
0.054,3,0,1,1
0.056,3,0,1,1
0.058,3,0,1,1
0.06,3,0,1,1
0.06,3,0,2,1
0.06,3,0,2,2
0.058,3,0,2,2
0.064,3,0,2,2
0.066,3,0,2,2
0.0666667,3,0,2,2
0.0666667,3,0,2,2
0.068,3,0,2,2
0.07,3,0,2,2
0.072,3,0,2,2
0.0733333,3,0,2,2
0.0733333,3,0,2,2
0.074,3,0,2,2
0.076,3,0,2,2
0.078,3,0,2,2
0.08,3,0,2,2
0.08,3,0,2,2
0.08,3,0,2,2
0.078,3,0,2,2
0.084,3,0,2,2
0.086,3,0,2,2
0.0866667,3,0,2,2
0.0866667,3,0,2,2
0.088,3,0,2,2
0.09,3,0,2,2
0.092,3,0,2,2
0.0933333,3,0,2,2
0.0933333,3,0,2,2
0.094,3,0,2,2
0.096,3,0,2,2
0.098,3,0,2,2
0.1,3,0,2,2
0.1,3,0,2,2
0.1,3,0,2,2
0.098,3,0,2,2
0.1,3,0,2,2
0.1,3,0,2,2
0.104,3,0,2,2
0.106,3,0,2,2
0.106667,3,0,2,2
0.106667,3,0,2,2
0.108,3,0,2,2
0.11,3,0,2,2
0.112,3,0,2,2
0.113333,3,0,2,2
0.113333,3,0,2,2
0.114,3,0,2,2
0.116,3,0,2,2
0.118,3,0,2,2
0.12,3,0,2,2
0.12,3,0,0,2
0.12,3,0,0,0
0.118,3,0,0,0
0.124,3,0,0,0
0.126,3,0,0,0
0.126667,3,0,0,0
0.126667,3,0,0,0
0.128,3,0,0,0
0.13,3,0,0,0
0.132,3,0,0,0
0.133333,3,0,0,0
0.133333,3,0,0,0
0.134,3,0,0,0
0.136,3,0,0,0
0.138,3,0,0,0
0.14,3,0,0,0
0.14,3,0,0,0
0.14,3,0,0,0
0.138,3,0,0,0
0.144,3,0,0,0
0.146,3,0,0,0
0.146667,3,0,0,0
0.146667,3,0,0,0
0.148,3,0,0,0
0.15,3,0,0,0
0.15,3,0,0,0
0.15,3,0,0,0
0.152,3,0,0,0
0.153333,3,0,0,0
0.153333,3,0,0,0
0.154,3,0,0,0
0.156,3,0,0,0
0.158,3,0,0,0
0.16,3,0,0,0
0.16,3,0,-1,0
0.16,3,0,-1,-1
0.158,3,0,-1,-1
0.164,3,0,-1,-1
0.166,3,0,-1,-1
0.166667,3,0,-1,-1
0.166667,3,0,-1,-1
0.168,3,0,-1,-1
0.17,3,0,-1,-1
0.172,3,0,-1,-1
0.173333,3,0,-1,-1
0.173333,3,0,-1,-1
0.174,3,0,-1,-1
0.176,3,0,-1,-1
0.178,3,0,-1,-1
0.18,3,0,-1,-1
0.18,3,0,-1,-1
0.18,3,0,-1,-1
0.178,3,0,-1,-1
0.184,3,0,-1,-1
0.186,3,0,-1,-1
0.186667,3,0,-1,-1
0.186667,3,0,-1,-1
0.188,3,0,-1,-1
0.19,3,0,-1,-1
0.192,3,0,-1,-1
0.193333,3,0,-1,-1
0.193333,3,0,-1,-1
0.194,3,0,-1,-1
0.196,3,0,-1,-1
0.198,3,0,-1,-1
0.2,3,0,-1,-1
0.2,3,0,-1,-1
0.2,3,0,-1,-1
0.198,3,0,-1,-1
0.2,3,0,-1,-1
0.2,3,0,-1,-1
0.204,3,0,-1,-1
0.206,3,0,-1,-1
0.206667,3,0,-1,-1
0.206667,3,0,-1,-1
0.208,3,0,-1,-1
0.21,3,0,-1,-1
0.212,3,0,-1,-1
0.213333,3,0,-1,-1
0.213333,3,0,-1,-1
0.214,3,0,-1,-1
0.216,3,0,-1,-1
0.218,3,0,-1,-1
0.22,3,0,-1,-1
0.22,3,0,3,-1
0.22,3,0,3,3
0.218,3,0,3,3
0.224,3,0,3,3
0.226,3,0,3,3
0.226667,3,0,3,3
0.226667,3,0,3,3
0.228,3,0,3,3
0.23,3,0,3,3
0.232,3,0,3,3
0.233333,3,0,3,3
0.233333,3,0,3,3
0.234,3,0,3,3
0.236,3,0,3,3
0.238,3,0,3,3
0.24,3,0,3,3
0.24,3,0,3,3
0.24,3,0,3,3
0.238,3,0,3,3
0.244,3,0,3,3
0.246,3,0,3,3
0.246667,3,0,3,3
0.246667,3,0,3,3
0.248,3,0,3,3
0.25,3,0,3,3
0.252,3,0,3,3
0.253333,3,0,3,3
0.253333,3,0,3,3
0.254,3,0,3,3
0.256,3,0,3,3
0.258,3,0,3,3
0.26,3,0,3,3
0.26,3,0,3,3
0.26,3,0,3,3
0.258,3,0,3,3
0.264,3,0,3,3
0.266,3,0,3,3
0.266667,3,0,3,3
0.266667,3,0,3,3
0.268,3,0,3,3
0.27,3,0,3,3
0.272,3,0,3,3
0.273333,3,0,3,3
0.273333,3,0,3,3
0.274,3,0,3,3
0.276,3,0,3,3
0.278,3,0,3,3
0.28,3,0,3,3
0.28,3,0,3,3
0.28,3,0,3,3
0.278,3,0,3,3
0.284,3,0,3,3
0.286,3,0,3,3
0.286667,3,0,3,3
0.286667,3,0,3,3
0.288,3,0,3,3
0.29,3,0,3,3
0.292,3,0,3,3
0.293333,3,0,3,3
0.293333,3,0,3,3
0.294,3,0,3,3
0.296,3,0,3,3
0.298,3,0,3,3
0.3,3,0,3,3
0.3,3,0,3,3
0.3,3,0,3,3
0.298,3,0,3,3
0.304,3,0,3,3
0.306,3,0,3,3
0.306667,3,0,3,3
0.306667,3,0,3,3
0.308,3,0,3,3
0.31,3,0,3,3
0.312,3,0,3,3
0.313333,3,0,3,3
0.313333,3,0,3,3
0.314,3,0,3,3
0.316,3,0,3,3
0.318,3,0,3,3
0.32,3,0,3,3
0.32,3,0,3,3
0.32,3,0,3,3
0.318,3,0,3,3
0.324,3,0,3,3
0.326,3,0,3,3
0.326667,3,0,3,3
0.326667,3,0,3,3
0.328,3,0,3,3
0.33,3,0,3,3
0.332,3,0,3,3
0.333333,3,0,3,3
0.333333,3,0,3,3
0.334,3,0,3,3
0.336,3,0,3,3
0.338,3,0,3,3
0.34,3,0,3,3
0.34,3,0,3,3
0.34,3,0,3,3
0.338,3,0,3,3
0.344,3,0,3,3
0.346,3,0,3,3
0.346667,3,0,3,3
0.346667,3,0,3,3
0.348,3,0,3,3
0.35,3,0,3,3
0.352,3,0,3,3
0.353333,3,0,3,3
0.353333,3,0,3,3
0.354,3,0,3,3
0.356,3,0,3,3
0.358,3,0,3,3
0.36,3,0,3,3
0.36,3,0,3,3
0.36,3,0,3,3
0.358,3,0,3,3
0.364,3,0,3,3
0.366,3,0,3,3
0.366667,3,0,3,3
0.366667,3,0,3,3
0.368,3,0,3,3
0.37,3,0,3,3
0.372,3,0,3,3
0.373333,3,0,3,3
0.373333,3,0,3,3
0.374,3,0,3,3
0.376,3,0,3,3
0.378,3,0,3,3
0.38,3,0,3,3
0.38,3,0,3,3
0.38,3,0,3,3
0.378,3,0,3,3
0.384,3,0,3,3
0.386,3,0,3,3
0.386667,3,0,3,3
0.386667,3,0,3,3
0.388,3,0,3,3
0.39,3,0,3,3
0.392,3,0,3,3
0.393333,3,0,3,3
0.393333,3,0,3,3
0.394,3,0,3,3
0.396,3,0,3,3
0.398,3,0,3,3
0.4,3,0,3,3
0.4,3,0,3,3
0.4,3,0,3,3
0.398,3,0,3,3
0.404,3,0,3,3
0.406,3,0,3,3
0.406667,3,0,3,3
0.406667,3,0,3,3
0.408,3,0,3,3
0.41,3,0,3,3
0.412,3,0,3,3
0.413333,3,0,3,3
0.413333,3,0,3,3
0.414,3,0,3,3
0.416,3,0,3,3
0.418,3,0,3,3
0.42,3,0,3,3
0.42,3,0,3,3
0.42,3,0,3,3
0.418,3,0,3,3
0.424,3,0,3,3
0.426,3,0,3,3
0.426667,3,0,3,3
0.426667,3,0,3,3
0.428,3,0,3,3
0.43,3,0,3,3
0.432,3,0,3,3
0.433333,3,0,3,3
0.433333,3,0,3,3
0.434,3,0,3,3
0.436,3,0,3,3
0.438,3,0,3,3
0.44,3,0,3,3
0.44,3,0,3,3
0.44,3,0,3,3
0.438,3,0,3,3
0.444,3,0,3,3
0.446,3,0,3,3
0.446667,3,0,3,3
0.446667,3,0,3,3
0.448,3,0,3,3
0.45,3,0,3,3
0.452,3,0,3,3
0.453333,3,0,3,3
0.453333,3,0,3,3
0.454,3,0,3,3
0.456,3,0,3,3
0.458,3,0,3,3
0.46,3,0,3,3
0.46,3,0,3,3
0.46,3,0,3,3
0.458,3,0,3,3
0.464,3,0,3,3
0.466,3,0,3,3
0.466667,3,0,3,3
0.466667,3,0,3,3
0.468,3,0,3,3
0.47,3,0,3,3
0.472,3,0,3,3
0.473333,3,0,3,3
0.473333,3,0,3,3
0.474,3,0,3,3
0.476,3,0,3,3
0.478,3,0,3,3
0.48,3,0,3,3
0.48,3,0,3,3
0.48,3,0,3,3
0.478,3,0,3,3
0.484,3,0,3,3
0.486,3,0,3,3
0.486667,3,0,3,3
0.486667,3,0,3,3
0.488,3,0,3,3
0.49,3,0,3,3
0.492,3,0,3,3
0.493333,3,0,3,3
0.493333,3,0,3,3
0.494,3,0,3,3
0.496,3,0,3,3
0.498,3,0,3,3
0.5,3,0,3,3
0.5,3,0,3,3
0.5,3,0,3,3
0.498,3,0,3,3
0.504,3,0,3,3
0.506,3,0,3,3
0.506667,3,0,3,3
0.506667,3,0,3,3
0.508,3,0,3,3
0.51,3,0,3,3
0.512,3,0,3,3
0.513333,3,0,3,3
0.513333,3,0,3,3
0.514,3,0,3,3
0.516,3,0,3,3
0.518,3,0,3,3
0.52,3,0,3,3
0.52,3,0,3,3
0.52,3,0,3,3
0.518,3,0,3,3
0.524,3,0,3,3
0.526,3,0,3,3
0.526667,3,0,3,3
0.526667,3,0,3,3
0.528,3,0,3,3
0.53,3,0,3,3
0.532,3,0,3,3
0.533333,3,0,3,3
0.533333,3,0,3,3
0.534,3,0,3,3
0.536,3,0,3,3
0.538,3,0,3,3
0.54,3,0,3,3
0.54,3,0,3,3
0.54,3,0,3,3
0.538,3,0,3,3
0.544,3,0,3,3
0.546,3,0,3,3
0.546667,3,0,3,3
0.546667,3,0,3,3
0.548,3,0,3,3
0.55,3,0,3,3
0.552,3,0,3,3
0.553333,3,0,3,3
0.553333,3,0,3,3
0.554,3,0,3,3
0.556,3,0,3,3
0.558,3,0,3,3
0.56,3,0,3,3
0.56,3,0,3,3
0.56,3,0,3,3
0.558,3,0,3,3
0.564,3,0,3,3
0.566,3,0,3,3
0.566667,3,0,3,3
0.566667,3,0,3,3
0.568,3,0,3,3
0.57,3,0,3,3
0.572,3,0,3,3
0.573333,3,0,3,3
0.573333,3,0,3,3
0.574,3,0,3,3
0.576,3,0,3,3
0.578,3,0,3,3
0.58,3,0,3,3
0.58,3,0,3,3
0.58,3,0,3,3
0.578,3,0,3,3
0.584,3,0,3,3
0.586,3,0,3,3
0.586667,3,0,3,3
0.586667,3,0,3,3
0.588,3,0,3,3
0.59,3,0,3,3
0.592,3,0,3,3
0.593333,3,0,3,3
0.593333,3,0,3,3
0.594,3,0,3,3
0.596,3,0,3,3
0.598,3,0,3,3
0.6,3,0,3,3
0.6,3,0,3,3
0.6,3,0,3,3
0.598,3,0,3,3
0.604,3,0,3,3
0.606,3,0,3,3
0.606667,3,0,3,3
0.606667,3,0,3,3
0.608,3,0,3,3
0.61,3,0,3,3
0.612,3,0,3,3
0.613333,3,0,3,3
0.613333,3,0,3,3
0.614,3,0,3,3
0.616,3,0,3,3
0.618,3,0,3,3
0.62,3,0,3,3
0.62,3,0,3,3
0.62,3,0,3,3
0.618,3,0,3,3
0.624,3,0,3,3
0.626,3,0,3,3
0.626667,3,0,3,3
0.626667,3,0,3,3
0.628,3,0,3,3
0.63,3,0,3,3
0.632,3,0,3,3
0.633333,3,0,3,3
0.633333,3,0,3,3
0.634,3,0,3,3
0.636,3,0,3,3
0.638,3,0,3,3
0.64,3,0,3,3
0.64,3,0,3,3
0.64,3,0,3,3
0.638,3,0,3,3
0.644,3,0,3,3
0.646,3,0,3,3
0.646667,3,0,3,3
0.646667,3,0,3,3
0.648,3,0,3,3
0.65,3,0,3,3
0.652,3,0,3,3
0.653333,3,0,3,3
0.653333,3,0,3,3
0.654,3,0,3,3
0.656,3,0,3,3
0.658,3,0,3,3
0.66,3,0,3,3
0.66,3,0,3,3
0.66,3,0,3,3
0.658,3,0,3,3
0.664,3,0,3,3
0.666,3,0,3,3
0.666667,3,0,3,3
0.666667,3,0,3,3
0.668,3,0,3,3
0.67,3,0,3,3
0.672,3,0,3,3
0.673333,3,0,3,3
0.673333,3,0,3,3
0.674,3,0,3,3
0.676,3,0,3,3
0.678,3,0,3,3
0.68,3,0,3,3
0.68,3,0,3,3
0.68,3,0,3,3
0.678,3,0,3,3
0.684,3,0,3,3
0.686,3,0,3,3
0.686667,3,0,3,3
0.686667,3,0,3,3
0.688,3,0,3,3
0.69,3,0,3,3
0.692,3,0,3,3
0.693333,3,0,3,3
0.693333,3,0,3,3
0.694,3,0,3,3
0.696,3,0,3,3
0.698,3,0,3,3
0.7,3,0,3,3
0.7,3,0,3,3
0.7,3,0,3,3
0.698,3,0,3,3
0.704,3,0,3,3
0.706,3,0,3,3
0.706667,3,0,3,3
0.706667,3,0,3,3
0.708,3,0,3,3
0.71,3,0,3,3
0.712,3,0,3,3
0.713333,3,0,3,3
0.713333,3,0,3,3
0.714,3,0,3,3
0.716,3,0,3,3
0.718,3,0,3,3
0.72,3,0,3,3
0.72,3,0,3,3
0.72,3,0,3,3
0.718,3,0,3,3
0.724,3,0,3,3
0.726,3,0,3,3
0.726667,3,0,3,3
0.726667,3,0,3,3
0.728,3,0,3,3
0.73,3,0,3,3
0.732,3,0,3,3
0.733333,3,0,3,3
0.733333,3,0,3,3
0.734,3,0,3,3
0.736,3,0,3,3
0.738,3,0,3,3
0.74,3,0,3,3
0.74,3,0,3,3
0.74,3,0,3,3
0.738,3,0,3,3
0.744,3,0,3,3
0.746,3,0,3,3
0.746667,3,0,3,3
0.746667,3,0,3,3
0.748,3,0,3,3
0.75,3,0,3,3
0.752,3,0,3,3
0.753333,3,0,3,3
0.753333,3,0,3,3
0.754,3,0,3,3
0.756,3,0,3,3
0.758,3,0,3,3
0.76,3,0,3,3
0.76,3,0,3,3
0.76,3,0,3,3
0.758,3,0,3,3
0.764,3,0,3,3
0.766,3,0,3,3
0.766667,3,0,3,3
0.766667,3,0,3,3
0.768,3,0,3,3
0.77,3,0,3,3
0.772,3,0,3,3
0.773333,3,0,3,3
0.773333,3,0,3,3
0.774,3,0,3,3
0.776,3,0,3,3
0.778,3,0,3,3
0.78,3,0,3,3
0.78,3,0,3,3
0.78,3,0,3,3
0.778,3,0,3,3
0.784,3,0,3,3
0.786,3,0,3,3
0.786667,3,0,3,3
0.786667,3,0,3,3
0.788,3,0,3,3
0.79,3,0,3,3
0.792,3,0,3,3
0.793333,3,0,3,3
0.793333,3,0,3,3
0.794,3,0,3,3
0.796,3,0,3,3
0.798,3,0,3,3
0.8,3,0,3,3
0.8,3,0,3,3
0.8,3,0,3,3
0.798,3,0,3,3
0.804,3,0,3,3
0.806,3,0,3,3
0.806667,3,0,3,3
0.806667,3,0,3,3
0.808,3,0,3,3
0.81,3,0,3,3
0.812,3,0,3,3
0.813333,3,0,3,3
0.813333,3,0,3,3
0.814,3,0,3,3
0.816,3,0,3,3
0.818,3,0,3,3
0.82,3,0,3,3
0.82,3,0,3,3
0.82,3,0,3,3
0.818,3,0,3,3
0.824,3,0,3,3
0.826,3,0,3,3
0.826667,3,0,3,3
0.826667,3,0,3,3
0.828,3,0,3,3
0.83,3,0,3,3
0.832,3,0,3,3
0.833333,3,0,3,3
0.833333,3,0,3,3
0.834,3,0,3,3
0.836,3,0,3,3
0.838,3,0,3,3
0.84,3,0,3,3
0.84,3,0,3,3
0.84,3,0,3,3
0.838,3,0,3,3
0.844,3,0,3,3
0.846,3,0,3,3
0.846667,3,0,3,3
0.846667,3,0,3,3
0.848,3,0,3,3
0.85,3,0,3,3
0.852,3,0,3,3
0.853333,3,0,3,3
0.853333,3,0,3,3
0.854,3,0,3,3
0.856,3,0,3,3
0.858,3,0,3,3
0.86,3,0,3,3
0.86,3,0,3,3
0.86,3,0,3,3
0.858,3,0,3,3
0.864,3,0,3,3
0.866,3,0,3,3
0.866667,3,0,3,3
0.866667,3,0,3,3
0.868,3,0,3,3
0.87,3,0,3,3
0.872,3,0,3,3
0.873333,3,0,3,3
0.873333,3,0,3,3
0.874,3,0,3,3
0.876,3,0,3,3
0.878,3,0,3,3
0.88,3,0,3,3
0.88,3,0,3,3
0.88,3,0,3,3
0.878,3,0,3,3
0.884,3,0,3,3
0.886,3,0,3,3
0.886667,3,0,3,3
0.886667,3,0,3,3
0.888,3,0,3,3
0.89,3,0,3,3
0.892,3,0,3,3
0.893333,3,0,3,3
0.893333,3,0,3,3
0.894,3,0,3,3
0.896,3,0,3,3
0.898,3,0,3,3
0.9,3,0,3,3
0.9,3,0,3,3
0.9,3,0,3,3
0.898,3,0,3,3
0.904,3,0,3,3
0.906,3,0,3,3
0.906667,3,0,3,3
0.906667,3,0,3,3
0.908,3,0,3,3
0.91,3,0,3,3
0.912,3,0,3,3
0.913333,3,0,3,3
0.913333,3,0,3,3
0.914,3,0,3,3
0.916,3,0,3,3
0.918,3,0,3,3
0.92,3,0,3,3
0.92,3,0,3,3
0.92,3,0,3,3
0.918,3,0,3,3
0.924,3,0,3,3
0.926,3,0,3,3
0.926667,3,0,3,3
0.926667,3,0,3,3
0.928,3,0,3,3
0.93,3,0,3,3
0.932,3,0,3,3
0.933333,3,0,3,3
0.933333,3,0,3,3
0.934,3,0,3,3
0.936,3,0,3,3
0.938,3,0,3,3
0.94,3,0,3,3
0.94,3,0,3,3
0.94,3,0,3,3
0.938,3,0,3,3
0.944,3,0,3,3
0.946,3,0,3,3
0.946667,3,0,3,3
0.946667,3,0,3,3
0.948,3,0,3,3
0.95,3,0,3,3
0.952,3,0,3,3
0.953333,3,0,3,3
0.953333,3,0,3,3
0.954,3,0,3,3
0.956,3,0,3,3
0.958,3,0,3,3
0.96,3,0,3,3
0.96,3,0,3,3
0.96,3,0,3,3
0.958,3,0,3,3
0.964,3,0,3,3
0.966,3,0,3,3
0.966667,3,0,3,3
0.966667,3,0,3,3
0.968,3,0,3,3
0.97,3,0,3,3
0.972,3,0,3,3
0.973333,3,0,3,3
0.973333,3,0,3,3
0.974,3,0,3,3
0.976,3,0,3,3
0.978,3,0,3,3
0.98,3,0,3,3
0.98,3,0,3,3
0.98,3,0,3,3
0.978,3,0,3,3
0.984,3,0,3,3
0.986,3,0,3,3
0.986667,3,0,3,3
0.986667,3,0,3,3
0.988,3,0,3,3
0.99,3,0,3,3
0.992,3,0,3,3
0.993333,3,0,3,3
0.993333,3,0,3,3
0.994,3,0,3,3
0.996,3,0,3,3
0.998,3,0,3,3
1,3,0,3,3
1,3,0,3,3
1,3,0,3,3
1,3,0,3,3
