"time","m","nin","nout","y[1]","y[2]"
0,3,3,2,0,0
0.002,3,3,2,0,0
0.004,3,3,2,0,0
0.006,3,3,2,0,0
0.008,3,3,2,0,0
0.01,3,3,2,0,0
0.012,3,3,2,0,0
0.014,3,3,2,0,0
0.016,3,3,2,0,0
0.018,3,3,2,0,0
0.02,3,3,2,0,0
0.022,3,3,2,0,0
0.024,3,3,2,0,0
0.026,3,3,2,0,0
0.028,3,3,2,0,0
0.03,3,3,2,0,0
0.032,3,3,2,0,0
0.034,3,3,2,0,0
0.036,3,3,2,0,0
0.038,3,3,2,0,0
0.04,3,3,2,0,0
0.042,3,3,2,0,0
0.044,3,3,2,0,0
0.046,3,3,2,0,0
0.048,3,3,2,0,0
0.05,3,3,2,0,0
0.052,3,3,2,0,0
0.054,3,3,2,0,0
0.056,3,3,2,0,0
0.058,3,3,2,0,0
0.06,3,3,2,0,0
0.062,3,3,2,0,0
0.064,3,3,2,0,0
0.066,3,3,2,0,0
0.068,3,3,2,0,0
0.07,3,3,2,0,0
0.072,3,3,2,0,0
0.074,3,3,2,0,0
0.076,3,3,2,0,0
0.078,3,3,2,0,0
0.08,3,3,2,0,0
0.082,3,3,2,0,0
0.084,3,3,2,0,0
0.086,3,3,2,0,0
0.088,3,3,2,0,0
0.09,3,3,2,0,0
0.092,3,3,2,0,0
0.094,3,3,2,0,0
0.096,3,3,2,0,0
0.098,3,3,2,0,0
0.1,3,3,2,0,0
0.102,3,3,2,0,0
0.104,3,3,2,0,0
0.106,3,3,2,0,0
0.108,3,3,2,0,0
0.11,3,3,2,0,0
0.112,3,3,2,0,0
0.114,3,3,2,0,0
0.116,3,3,2,0,0
0.118,3,3,2,0,0
0.12,3,3,2,0,0
0.122,3,3,2,0,0
0.124,3,3,2,0,0
0.126,3,3,2,0,0
0.128,3,3,2,0,0
0.13,3,3,2,0,0
0.132,3,3,2,0,0
0.134,3,3,2,0,0
0.136,3,3,2,0,0
0.138,3,3,2,0,0
0.14,3,3,2,0,0
0.142,3,3,2,0,0
0.144,3,3,2,0,0
0.146,3,3,2,0,0
0.148,3,3,2,0,0
0.15,3,3,2,0,0
0.152,3,3,2,0,0
0.154,3,3,2,0,0
0.156,3,3,2,0,0
0.158,3,3,2,0,0
0.16,3,3,2,0,0
0.162,3,3,2,0,0
0.164,3,3,2,0,0
0.166,3,3,2,0,0
0.168,3,3,2,0,0
0.17,3,3,2,0,0
0.172,3,3,2,0,0
0.174,3,3,2,0,0
0.176,3,3,2,0,0
0.178,3,3,2,0,0
0.18,3,3,2,0,0
0.182,3,3,2,0,0
0.184,3,3,2,0,0
0.186,3,3,2,0,0
0.188,3,3,2,0,0
0.19,3,3,2,0,0
0.192,3,3,2,0,0
0.194,3,3,2,0,0
0.196,3,3,2,0,0
0.198,3,3,2,0,0
0.2,3,3,2,0,0
0.202,3,3,2,0,0
0.204,3,3,2,0,0
0.206,3,3,2,0,0
0.208,3,3,2,0,0
0.21,3,3,2,0,0
0.212,3,3,2,0,0
0.214,3,3,2,0,0
0.216,3,3,2,0,0
0.218,3,3,2,0,0
0.22,3,3,2,0,0
0.222,3,3,2,0,0
0.224,3,3,2,0,0
0.226,3,3,2,0,0
0.228,3,3,2,0,0
0.23,3,3,2,0,0
0.232,3,3,2,0,0
0.234,3,3,2,0,0
0.236,3,3,2,0,0
0.238,3,3,2,0,0
0.24,3,3,2,0,0
0.242,3,3,2,0,0
0.244,3,3,2,0,0
0.246,3,3,2,0,0
0.248,3,3,2,0,0
0.25,3,3,2,0,0
0.252,3,3,2,0,0
0.254,3,3,2,0,0
0.256,3,3,2,0,0
0.258,3,3,2,0,0
0.26,3,3,2,0,0
0.262,3,3,2,0,0
0.264,3,3,2,0,0
0.266,3,3,2,0,0
0.268,3,3,2,0,0
0.27,3,3,2,0,0
0.272,3,3,2,0,0
0.274,3,3,2,0,0
0.276,3,3,2,0,0
0.278,3,3,2,0,0
0.28,3,3,2,0,0
0.282,3,3,2,0,0
0.284,3,3,2,0,0
0.286,3,3,2,0,0
0.288,3,3,2,0,0
0.29,3,3,2,0,0
0.292,3,3,2,0,0
0.294,3,3,2,0,0
0.296,3,3,2,0,0
0.298,3,3,2,0,0
0.3,3,3,2,0,0
0.302,3,3,2,0,0
0.304,3,3,2,0,0
0.306,3,3,2,0,0
0.308,3,3,2,0,0
0.31,3,3,2,0,0
0.312,3,3,2,0,0
0.314,3,3,2,0,0
0.316,3,3,2,0,0
0.318,3,3,2,0,0
0.32,3,3,2,0,0
0.322,3,3,2,0,0
0.324,3,3,2,0,0
0.326,3,3,2,0,0
0.328,3,3,2,0,0
0.33,3,3,2,0,0
0.332,3,3,2,0,0
0.334,3,3,2,0,0
0.336,3,3,2,0,0
0.338,3,3,2,0,0
0.34,3,3,2,0,0
0.342,3,3,2,0,0
0.344,3,3,2,0,0
0.346,3,3,2,0,0
0.348,3,3,2,0,0
0.35,3,3,2,0,0
0.352,3,3,2,0,0
0.354,3,3,2,0,0
0.356,3,3,2,0,0
0.358,3,3,2,0,0
0.36,3,3,2,0,0
0.362,3,3,2,0,0
0.364,3,3,2,0,0
0.366,3,3,2,0,0
0.368,3,3,2,0,0
0.37,3,3,2,0,0
0.372,3,3,2,0,0
0.374,3,3,2,0,0
0.376,3,3,2,0,0
0.378,3,3,2,0,0
0.38,3,3,2,0,0
0.382,3,3,2,0,0
0.384,3,3,2,0,0
0.386,3,3,2,0,0
0.388,3,3,2,0,0
0.39,3,3,2,0,0
0.392,3,3,2,0,0
0.394,3,3,2,0,0
0.396,3,3,2,0,0
0.398,3,3,2,0,0
0.4,3,3,2,0,0
0.402,3,3,2,0,0
0.404,3,3,2,0,0
0.406,3,3,2,0,0
0.408,3,3,2,0,0
0.41,3,3,2,0,0
0.412,3,3,2,0,0
0.414,3,3,2,0,0
0.416,3,3,2,0,0
0.418,3,3,2,0,0
0.42,3,3,2,0,0
0.422,3,3,2,0,0
0.424,3,3,2,0,0
0.426,3,3,2,0,0
0.428,3,3,2,0,0
0.43,3,3,2,0,0
0.432,3,3,2,0,0
0.434,3,3,2,0,0
0.436,3,3,2,0,0
0.438,3,3,2,0,0
0.44,3,3,2,0,0
0.442,3,3,2,0,0
0.444,3,3,2,0,0
0.446,3,3,2,0,0
0.448,3,3,2,0,0
0.45,3,3,2,0,0
0.452,3,3,2,0,0
0.454,3,3,2,0,0
0.456,3,3,2,0,0
0.458,3,3,2,0,0
0.46,3,3,2,0,0
0.462,3,3,2,0,0
0.464,3,3,2,0,0
0.466,3,3,2,0,0
0.468,3,3,2,0,0
0.47,3,3,2,0,0
0.472,3,3,2,0,0
0.474,3,3,2,0,0
0.476,3,3,2,0,0
0.478,3,3,2,0,0
0.48,3,3,2,0,0
0.482,3,3,2,0,0
0.484,3,3,2,0,0
0.486,3,3,2,0,0
0.488,3,3,2,0,0
0.49,3,3,2,0,0
0.492,3,3,2,0,0
0.494,3,3,2,0,0
0.496,3,3,2,0,0
0.498,3,3,2,0,0
0.5,3,3,2,0,0
0.502,3,3,2,0,0
0.504,3,3,2,0,0
0.506,3,3,2,0,0
0.508,3,3,2,0,0
0.51,3,3,2,0,0
0.512,3,3,2,0,0
0.514,3,3,2,0,0
0.516,3,3,2,0,0
0.518,3,3,2,0,0
0.52,3,3,2,0,0
0.522,3,3,2,0,0
0.524,3,3,2,0,0
0.526,3,3,2,0,0
0.528,3,3,2,0,0
0.53,3,3,2,0,0
0.532,3,3,2,0,0
0.534,3,3,2,0,0
0.536,3,3,2,0,0
0.538,3,3,2,0,0
0.54,3,3,2,0,0
0.542,3,3,2,0,0
0.544,3,3,2,0,0
0.546,3,3,2,0,0
0.548,3,3,2,0,0
0.55,3,3,2,0,0
0.552,3,3,2,0,0
0.554,3,3,2,0,0
0.556,3,3,2,0,0
0.558,3,3,2,0,0
0.56,3,3,2,0,0
0.562,3,3,2,0,0
0.564,3,3,2,0,0
0.566,3,3,2,0,0
0.568,3,3,2,0,0
0.57,3,3,2,0,0
0.572,3,3,2,0,0
0.574,3,3,2,0,0
0.576,3,3,2,0,0
0.578,3,3,2,0,0
0.58,3,3,2,0,0
0.582,3,3,2,0,0
0.584,3,3,2,0,0
0.586,3,3,2,0,0
0.588,3,3,2,0,0
0.59,3,3,2,0,0
0.592,3,3,2,0,0
0.594,3,3,2,0,0
0.596,3,3,2,0,0
0.598,3,3,2,0,0
0.6,3,3,2,0,0
0.602,3,3,2,0,0
0.604,3,3,2,0,0
0.606,3,3,2,0,0
0.608,3,3,2,0,0
0.61,3,3,2,0,0
0.612,3,3,2,0,0
0.614,3,3,2,0,0
0.616,3,3,2,0,0
0.618,3,3,2,0,0
0.62,3,3,2,0,0
0.622,3,3,2,0,0
0.624,3,3,2,0,0
0.626,3,3,2,0,0
0.628,3,3,2,0,0
0.63,3,3,2,0,0
0.632,3,3,2,0,0
0.634,3,3,2,0,0
0.636,3,3,2,0,0
0.638,3,3,2,0,0
0.64,3,3,2,0,0
0.642,3,3,2,0,0
0.644,3,3,2,0,0
0.646,3,3,2,0,0
0.648,3,3,2,0,0
0.65,3,3,2,0,0
0.652,3,3,2,0,0
0.654,3,3,2,0,0
0.656,3,3,2,0,0
0.658,3,3,2,0,0
0.66,3,3,2,0,0
0.662,3,3,2,0,0
0.664,3,3,2,0,0
0.666,3,3,2,0,0
0.668,3,3,2,0,0
0.67,3,3,2,0,0
0.672,3,3,2,0,0
0.674,3,3,2,0,0
0.676,3,3,2,0,0
0.678,3,3,2,0,0
0.68,3,3,2,0,0
0.682,3,3,2,0,0
0.684,3,3,2,0,0
0.686,3,3,2,0,0
0.688,3,3,2,0,0
0.69,3,3,2,0,0
0.692,3,3,2,0,0
0.694,3,3,2,0,0
0.696,3,3,2,0,0
0.698,3,3,2,0,0
0.7,3,3,2,0,0
0.702,3,3,2,0,0
0.704,3,3,2,0,0
0.706,3,3,2,0,0
0.708,3,3,2,0,0
0.71,3,3,2,0,0
0.712,3,3,2,0,0
0.714,3,3,2,0,0
0.716,3,3,2,0,0
0.718,3,3,2,0,0
0.72,3,3,2,0,0
0.722,3,3,2,0,0
0.724,3,3,2,0,0
0.726,3,3,2,0,0
0.728,3,3,2,0,0
0.73,3,3,2,0,0
0.732,3,3,2,0,0
0.734,3,3,2,0,0
0.736,3,3,2,0,0
0.738,3,3,2,0,0
0.74,3,3,2,0,0
0.742,3,3,2,0,0
0.744,3,3,2,0,0
0.746,3,3,2,0,0
0.748,3,3,2,0,0
0.75,3,3,2,0,0
0.752,3,3,2,0,0
0.754,3,3,2,0,0
0.756,3,3,2,0,0
0.758,3,3,2,0,0
0.76,3,3,2,0,0
0.762,3,3,2,0,0
0.764,3,3,2,0,0
0.766,3,3,2,0,0
0.768,3,3,2,0,0
0.77,3,3,2,0,0
0.772,3,3,2,0,0
0.774,3,3,2,0,0
0.776,3,3,2,0,0
0.778,3,3,2,0,0
0.78,3,3,2,0,0
0.782,3,3,2,0,0
0.784,3,3,2,0,0
0.786,3,3,2,0,0
0.788,3,3,2,0,0
0.79,3,3,2,0,0
0.792,3,3,2,0,0
0.794,3,3,2,0,0
0.796,3,3,2,0,0
0.798,3,3,2,0,0
0.8,3,3,2,0,0
0.802,3,3,2,0,0
0.804,3,3,2,0,0
0.806,3,3,2,0,0
0.808,3,3,2,0,0
0.81,3,3,2,0,0
0.812,3,3,2,0,0
0.814,3,3,2,0,0
0.816,3,3,2,0,0
0.818,3,3,2,0,0
0.82,3,3,2,0,0
0.822,3,3,2,0,0
0.824,3,3,2,0,0
0.826,3,3,2,0,0
0.828,3,3,2,0,0
0.83,3,3,2,0,0
0.832,3,3,2,0,0
0.834,3,3,2,0,0
0.836,3,3,2,0,0
0.838,3,3,2,0,0
0.84,3,3,2,0,0
0.842,3,3,2,0,0
0.844,3,3,2,0,0
0.846,3,3,2,0,0
0.848,3,3,2,0,0
0.85,3,3,2,0,0
0.852,3,3,2,0,0
0.854,3,3,2,0,0
0.856,3,3,2,0,0
0.858,3,3,2,0,0
0.86,3,3,2,0,0
0.862,3,3,2,0,0
0.864,3,3,2,0,0
0.866,3,3,2,0,0
0.868,3,3,2,0,0
0.87,3,3,2,0,0
0.872,3,3,2,0,0
0.874,3,3,2,0,0
0.876,3,3,2,0,0
0.878,3,3,2,0,0
0.88,3,3,2,0,0
0.882,3,3,2,0,0
0.884,3,3,2,0,0
0.886,3,3,2,0,0
0.888,3,3,2,0,0
0.89,3,3,2,0,0
0.892,3,3,2,0,0
0.894,3,3,2,0,0
0.896,3,3,2,0,0
0.898,3,3,2,0,0
0.9,3,3,2,0,0
0.902,3,3,2,0,0
0.904,3,3,2,0,0
0.906,3,3,2,0,0
0.908,3,3,2,0,0
0.91,3,3,2,0,0
0.912,3,3,2,0,0
0.914,3,3,2,0,0
0.916,3,3,2,0,0
0.918,3,3,2,0,0
0.92,3,3,2,0,0
0.922,3,3,2,0,0
0.924,3,3,2,0,0
0.926,3,3,2,0,0
0.928,3,3,2,0,0
0.93,3,3,2,0,0
0.932,3,3,2,0,0
0.934,3,3,2,0,0
0.936,3,3,2,0,0
0.938,3,3,2,0,0
0.94,3,3,2,0,0
0.942,3,3,2,0,0
0.944,3,3,2,0,0
0.946,3,3,2,0,0
0.948,3,3,2,0,0
0.95,3,3,2,0,0
0.952,3,3,2,0,0
0.954,3,3,2,0,0
0.956,3,3,2,0,0
0.958,3,3,2,0,0
0.96,3,3,2,0,0
0.962,3,3,2,0,0
0.964,3,3,2,0,0
0.966,3,3,2,0,0
0.968,3,3,2,0,0
0.97,3,3,2,0,0
0.972,3,3,2,0,0
0.974,3,3,2,0,0
0.976,3,3,2,0,0
0.978,3,3,2,0,0
0.98,3,3,2,0,0
0.982,3,3,2,0,0
0.984,3,3,2,0,0
0.986,3,3,2,0,0
0.988,3,3,2,0,0
0.99,3,3,2,0,0
0.992,3,3,2,0,0
0.994,3,3,2,0,0
0.996,3,3,2,0,0
0.998,3,3,2,0,0
1,3,3,2,0,0
1,3,3,2,0,0
